a,customer_id,customer_index,date,quantity,amount
72,226,19,1997-04-20,2,23.76
73,226,19,1997-07-19,2,24.74
74,226,19,1998-02-15,1,15.49
75,226,19,1998-05-05,3,43.47
76,243,20,1997-01-02,2,17.96
77,256,21,1997-01-02,1,14.99
78,256,21,1997-03-02,2,34.6
79,256,21,1997-04-14,1,29.99
80,261,22,1997-01-02,1,8.77
81,281,23,1997-01-02,1,14.7
82,297,24,1997-01-02,1,14.96
83,312,25,1997-01-02,2,87.74
84,312,25,1997-12-21,1,14.99
85,314,26,1997-01-02,1,3.99
86,314,26,1997-01-13,10,166.89
87,314,26,1997-01-13,4,60.25
88,333,27,1997-01-02,1,15.9
89,341,28,1997-01-02,2,26.14
90,341,28,1997-07-27,4,80.46
91,350,29,1997-01-02,1,46.37
92,353,30,1997-01-02,2,28.76
93,353,30,1997-02-12,2,40.47
94,367,31,1997-01-02,1,44.77
95,388,32,1997-01-02,1,10.77
96,408,33,1997-01-02,1,25.99
97,425,34,1997-01-02,1,14.99
98,429,35,1997-01-02,1,11.77
99,429,35,1997-07-11,2,31.14
100,429,35,1998-06-14,1,59.49
101,440,36,1997-01-02,1,14.96
102,473,37,1997-01-02,3,34.97
103,489,38,1997-01-02,3,47.0
104,489,38,1997-01-17,1,13.97
105,502,39,1997-01-02,1,15.36
106,502,39,1997-10-09,1,16.99
107,516,40,1997-01-02,1,14.99
108,487,41,1997-01-03,1,11.77
109,530,42,1997-01-03,1,11.97
110,542,43,1997-01-03,4,45.67
111,558,44,1997-01-03,4,49.67
112,562,45,1997-01-03,1,8.97
113,562,45,1997-06-23,1,14.96
114,564,46,1997-01-03,3,40.7
115,564,46,1997-01-14,1,14.96
116,564,46,1997-01-21,2,43.13
117,564,46,1997-01-27,1,14.96
118,564,46,1997-02-04,2,39.33
119,564,46,1997-04-11,2,29.92
120,564,46,1997-06-27,2,37.93
121,564,46,1997-07-10,2,26.73
122,564,46,1997-07-14,2,29.58
123,564,46,1997-07-29,1,14.96
124,564,46,1997-07-31,1,21.97
125,564,46,1997-08-28,2,29.73
126,564,46,1997-08-28,2,27.74
127,564,46,1997-09-01,2,23.54
128,564,46,1997-10-13,2,32.48
129,564,46,1997-10-28,2,24.48
130,564,46,1997-12-14,3,35.97
131,564,46,1998-01-10,2,26.48
132,564,46,1998-02-13,2,28.98
133,564,46,1998-03-01,2,30.98
134,564,46,1998-03-05,2,32.47
135,564,46,1998-03-25,2,25.98
136,564,46,1998-04-15,1,11.88
137,564,46,1998-05-31,1,12.99
138,581,47,1997-01-03,1,14.37
139,612,48,1997-01-03,1,12.49
140,621,49,1997-01-03,1,17.9
141,621,49,1997-01-14,1,14.37
142,636,50,1997-01-03,3,27.92
143,656,51,1997-01-03,3,55.1
144,656,51,1998-04-11,6,93.81
145,656,51,1998-04-11,2,20.98
146,675,52,1997-01-03,1,24.99
147,687,53,1997-01-03,1,12.97
148,687,53,1998-04-10,2,34.41
149,736,54,1997-01-03,2,28.74
150,755,55,1997-01-03,1,52.99
151,756,56,1997-01-03,1,14.37
152,756,56,1997-07-06,1,13.97
153,756,56,1997-08-23,4,42.08
154,760,57,1997-01-03,1,11.77
155,760,57,1997-02-02,1,15.36
156,760,57,1998-04-20,2,26.3
157,18,58,1997-01-04,1,14.96
158,645,59,1997-01-04,3,44.71
159,645,59,1997-09-30,1,6.49
160,645,59,1997-11-24,1,12.99
161,645,59,1998-03-19,1,36.99
162,703,60,1997-01-04,8,121.34
163,773,61,1997-01-04,4,56.27
164,773,61,1997-01-20,4,62.9
165,773,61,1997-01-20,1,15.36
166,773,61,1997-02-24,3,63.95
167,773,61,1997-02-24,1,24.99
168,773,61,1997-03-03,1,15.36
169,773,61,1997-07-29,1,31.03
170,773,61,1997-12-17,2,29.48
171,773,61,1997-12-18,1,28.49
172,773,61,1997-12-22,3,66.97
173,775,62,1997-01-04,10,186.67
174,789,63,1997-01-04,2,27.34
175,789,63,1997-04-27,3,43.13
176,789,63,1998-03-30,2,28.97
177,795,64,1997-01-04,1,13.97
178,816,65,1997-01-04,3,35.31
179,834,66,1997-01-04,2,21.98
180,836,67,1997-01-04,4,59.08
181,836,67,1997-01-26,10,144.08
182,836,67,1997-06-01,8,122.88
183,836,67,1997-11-12,8,140.42
184,857,68,1997-01-04,2,24.94
185,875,69,1997-01-04,1,16.99
186,881,70,1997-01-04,2,36.94
187,881,70,1997-01-11,1,11.77
188,881,70,1997-06-02,5,71.02
189,881,70,1997-07-28,3,45.09
190,881,70,1998-04-18,7,106.03
191,899,71,1997-01-04,2,145.47
192,913,72,1997-01-04,1,12.77
193,918,73,1997-01-04,4,51.87
194,918,73,1997-02-14,5,69.23
195,918,73,1997-12-07,1,15.49
196,936,74,1997-01-04,1,14.99
197,947,75,1997-01-04,6,53.46
198,947,75,1997-02-09,2,20.77
199,958,76,1997-01-04,8,117.1
200,974,77,1997-01-04,1,18.36
201,989,78,1997-01-05,1,14.96
202,1012,79,1997-01-05,1,13.97
203,1012,79,1997-03-07,1,13.77
204,1012,79,1997-03-22,1,14.37
205,1012,79,1997-05-03,3,32.51
206,1014,80,1997-01-05,5,96.36
207,1034,81,1997-01-05,2,33.96
208,1035,82,1997-01-05,5,66.84
209,1035,82,1997-02-26,3,42.09
210,1050,83,1997-01-05,2,21.76
211,1062,84,1997-01-05,1,14.96
212,1080,85,1997-01-05,1,14.99
213,1099,86,1997-01-05,1,14.96
214,1099,86,1997-02-03,2,24.74
215,1099,86,1997-02-05,1,8.0
216,1099,86,1997-02-25,1,13.97
217,1099,86,1997-02-27,1,27.77
218,1099,86,1997-03-18,3,45.28
219,1099,86,1997-06-24,4,58.68
220,1099,86,1997-07-09,1,14.96
221,1099,86,1997-12-30,1,17.49
222,1099,86,1998-02-27,1,18.49
223,1099,86,1998-03-23,1,10.49
224,1099,86,1998-06-17,3,46.47
225,1101,87,1997-01-05,1,0.0
226,1108,88,1997-01-05,1,16.3
227,1108,88,1997-01-05,1,13.99
228,1108,88,1997-02-14,2,14.96
229,1108,88,1997-03-05,2,11.58
230,1108,88,1997-03-26,1,6.79
231,1108,88,1997-04-13,1,6.79
232,1108,88,1997-07-24,1,12.25
233,1108,88,1997-08-04,2,20.74
234,1108,88,1997-08-24,1,11.77
235,1108,88,1997-08-24,1,12.25
236,1108,88,1997-09-03,1,14.96
237,1108,88,1997-09-09,1,12.99
238,1108,88,1997-09-10,1,11.49
239,1108,88,1997-10-07,1,5.49
240,1108,88,1997-11-18,1,4.49
241,1108,88,1997-11-18,1,5.49
242,1108,88,1998-03-01,1,5.49
243,1108,88,1998-03-06,1,2.99
244,1131,89,1997-01-05,5,71.63
245,1150,90,1997-01-05,1,37.97
246,1158,91,1997-01-05,6,79.94
247,1158,91,1997-08-26,1,14.99
248,1167,92,1997-01-05,4,47.28
249,1167,92,1997-01-11,4,60.84
250,1167,92,1997-01-14,2,19.94
251,1167,92,1997-01-22,2,24.74
252,1167,92,1997-02-10,2,23.54
253,1167,92,1997-05-18,6,99.19
254,1167,92,1997-09-24,3,76.97
255,1167,92,1998-04-18,5,62.79
256,1174,93,1997-01-05,1,34.9
257,1188,94,1997-01-05,3,43.09
258,1209,95,1997-01-05,3,31.51
259,1223,96,1997-01-05,3,56.51
260,1240,97,1997-01-05,2,36.36
261,1241,98,1997-01-05,1,11.77
262,1241,98,1997-06-22,2,25.74
263,1241,98,1997-08-16,3,41.1
264,1241,98,1997-12-21,1,14.99
265,1241,98,1998-01-28,3,38.97
266,1251,99,1997-01-05,1,6.79
267,1251,99,1997-01-15,1,4.79
268,1251,99,1997-08-24,2,24.5
269,1251,99,1997-09-11,4,35.96
270,1251,99,1997-09-25,2,17.48
271,1251,99,1998-01-17,3,32.47
272,1251,99,1998-03-26,3,58.97
273,1251,99,1998-05-05,3,21.09
274,1252,100,1997-01-05,1,16.99
275,1252,100,1997-06-21,2,26.22
276,441,101,1997-01-06,5,62.45
277,441,101,1997-02-13,1,12.49
278,441,101,1997-05-05,1,6.79
279,441,101,1997-05-26,1,6.79
280,441,101,1997-08-13,3,37.31
281,441,101,1997-09-16,2,23.98
282,441,101,1997-11-17,2,15.48
283,441,101,1997-11-20,1,14.49
284,441,101,1997-12-10,1,14.99
285,441,101,1998-06-03,2,24.48
286,1115,102,1997-01-06,1,19.99
287,1265,103,1997-01-06,4,34.74
288,1280,104,1997-01-06,1,22.7
289,1283,105,1997-01-06,6,79.21
290,1283,105,1997-06-24,7,92.8
291,1291,106,1997-01-06,3,52.3
292,1291,106,1997-02-18,3,52.3
293,1302,107,1997-01-06,6,125.82
294,1317,108,1997-01-06,2,32.98
295,1322,109,1997-01-06,2,27.13
296,1322,109,1997-01-08,3,39.09
297,1333,110,1997-01-06,3,42.49
298,1333,110,1997-11-08,2,29.48
299,1343,111,1997-01-06,1,9.97
300,1343,111,1997-01-08,1,12.97
301,1343,111,1998-06-04,1,12.58
302,1350,112,1997-01-06,7,156.0
303,1365,113,1997-01-06,1,11.77
304,1377,114,1997-01-06,1,14.37
305,1377,114,1997-06-24,1,24.99
306,1380,115,1997-01-06,2,29.33
307,1393,116,1997-01-06,1,8.77
308,1393,116,1997-02-12,3,28.31
309,1393,116,1998-01-02,4,58.46
310,1393,116,1998-05-26,3,14.47
311,1395,117,1997-01-06,1,8.77
312,1420,118,1997-01-06,1,11.77
313,1433,119,1997-01-06,1,9.98
314,1446,120,1997-01-06,1,19.77
315,1480,121,1997-01-06,1,15.96
316,1480,121,1997-01-27,1,13.77
317,1483,122,1997-01-06,11,163.52
318,1504,123,1997-01-06,1,24.99
319,1518,124,1997-01-06,1,14.96
320,1528,125,1997-01-06,1,10.99
321,1528,125,1997-02-25,3,36.71
322,1528,125,1998-02-13,1,7.49
323,719,126,1997-01-07,2,34.98
324,1463,127,1997-01-07,3,28.37
325,1540,128,1997-01-07,1,10.77
326,1544,129,1997-01-07,1,6.79
327,1544,129,1997-01-09,2,9.58
328,1544,129,1997-01-24,2,19.16
329,1544,129,1997-02-13,1,13.97
330,1544,129,1997-03-01,1,11.77
331,1560,130,1997-01-07,1,12.77
332,1560,130,1997-03-15,1,14.37
333,1560,130,1997-06-19,2,28.74
334,1560,130,1997-07-08,1,14.96
335,1561,131,1997-01-07,4,49.87
336,1561,131,1997-11-10,6,66.94
337,1568,132,1997-01-07,1,27.99
338,1568,132,1997-06-24,4,71.66
339,1583,133,1997-01-07,1,13.7
340,1583,133,1997-04-09,1,11.77
341,1583,133,1997-07-25,1,15.96
342,1583,133,1998-01-21,1,9.49
343,1583,133,1998-03-05,1,11.49
344,1583,133,1998-03-25,1,12.99
345,1583,133,1998-06-03,1,12.58
346,1583,133,1998-06-09,1,9.99
347,1585,134,1997-01-07,1,8.77
348,1585,134,1998-05-25,1,15.99
349,1596,135,1997-01-07,2,35.36
350,1596,135,1997-06-20,2,19.54
351,1596,135,1997-12-08,4,44.96
352,1596,135,1998-02-11,3,32.74
353,1605,136,1997-01-07,2,44.98
354,1605,136,1997-02-05,2,19.96
355,1605,136,1997-02-28,1,26.99
356,1618,137,1997-01-07,1,12.97
357,1623,138,1997-01-07,1,14.99
358,1623,138,1997-02-23,2,29.98
359,1623,138,1997-05-05,5,73.62
360,1623,138,1997-11-27,8,106.42
361,1623,138,1998-03-19,3,30.4
362,1623,138,1998-03-21,1,9.49
363,1623,138,1998-05-05,7,97.95
364,1627,139,1997-01-07,1,11.77
365,1627,139,1997-01-22,2,29.33
366,1631,140,1997-01-07,1,11.77
367,1631,140,1997-04-27,2,23.54
368,1640,141,1997-01-07,7,79.99
369,1647,142,1997-01-07,2,59.98
370,1647,142,1997-01-08,2,27.14
371,1647,142,1997-01-09,4,51.66
372,1647,142,1997-02-06,1,12.97
373,1647,142,1997-02-07,2,26.14
374,1647,142,1997-02-24,3,59.97
375,1647,142,1998-01-08,1,13.99
376,1647,142,1998-02-04,2,22.98
377,1655,143,1997-01-07,2,26.73
378,1655,143,1997-01-24,1,14.96
379,1655,143,1997-07-26,1,15.36
380,1661,144,1997-01-07,1,174.99
381,1661,144,1997-01-21,2,45.35
382,1661,144,1997-02-21,1,17.9
383,1661,144,1997-02-28,1,15.7
384,1661,144,1997-05-13,2,26.73
385,1661,144,1997-07-29,1,31.03
386,1661,144,1997-08-14,1,17.95
387,1661,144,1997-09-03,1,5.78
388,1661,144,1997-10-20,1,29.99
389,1661,144,1997-10-21,1,11.49
390,1661,144,1997-11-12,1,25.49
391,1661,144,1998-02-12,1,14.49
392,1661,144,1998-06-09,1,29.99
393,1663,145,1997-01-07,1,14.96
394,1663,145,1997-01-22,1,14.96
395,1663,145,1997-09-14,1,22.99
396,1664,146,1997-01-07,5,70.42
397,1668,147,1997-01-07,1,13.97
398,1668,147,1997-02-07,1,14.39
399,1668,147,1997-05-15,2,41.95
400,1668,147,1997-07-05,2,43.57
401,1668,147,1997-07-31,1,9.77
402,1668,147,1997-07-31,1,9.77
403,1668,147,1997-12-11,1,14.99
404,1669,148,1997-01-07,1,9.98
405,1669,148,1997-01-17,3,44.32
406,1669,148,1997-01-27,1,39.47
407,1669,148,1997-03-05,2,73.98
408,1669,148,1997-03-19,1,7.98
409,1669,148,1997-03-24,1,12.77
410,1669,148,1997-04-10,1,29.95
411,1669,148,1997-08-05,3,30.54
412,1669,148,1997-08-19,1,12.25
413,1669,148,1997-08-19,1,17.7
414,1669,148,1997-08-25,3,17.37
415,1669,148,1997-08-26,2,26.73
416,1669,148,1997-09-11,1,12.99
417,1669,148,1997-09-17,8,43.92
418,1669,148,1997-09-29,1,11.49
419,1669,148,1997-10-06,2,24.48
420,1669,148,1997-10-28,1,20.99
421,1669,148,1997-12-09,2,27.98
422,1669,148,1998-03-10,1,11.19
423,1669,148,1998-03-10,2,25.98
424,1669,148,1998-03-13,2,33.98
425,1686,149,1997-01-07,1,13.97
426,1686,149,1997-12-09,2,25.98
427,1686,149,1998-01-30,2,28.48
428,1686,149,1998-02-20,3,35.47
429,1686,149,1998-04-19,1,21.22
430,1686,149,1998-04-19,1,12.99
431,1686,149,1998-04-28,1,15.99
432,1696,150,1997-01-07,4,46.48
433,1696,150,1997-01-22,3,35.31
434,1696,150,1997-02-03,2,26.14
435,1696,150,1997-07-31,2,28.93
436,1696,150,1997-08-26,2,23.74
437,1696,150,1997-11-14,2,22.48
438,1696,150,1997-11-24,1,12.99
439,1705,151,1997-01-07,1,11.77
440,1705,151,1997-02-23,4,59.84
441,1705,151,1997-07-14,1,14.79
442,1705,151,1997-09-08,1,10.77
443,1705,151,1997-09-11,1,14.37
444,1712,152,1997-01-07,1,30.97
445,1733,153,1997-01-07,1,11.77
446,1739,154,1997-01-07,1,15.36
447,1739,154,1997-01-27,1,16.7
448,1753,155,1997-01-07,1,0.0
449,1758,156,1997-01-07,1,11.77
450,1758,156,1997-02-21,2,34.32
451,1760,157,1997-01-07,1,11.99
452,1760,157,1997-01-10,1,9.97
453,1760,157,1997-01-14,1,13.97
454,1760,157,1997-01-19,3,46.08
455,1760,157,1997-01-22,1,5.99
456,1760,157,1997-01-29,2,27.94
457,1760,157,1997-02-03,2,23.98
458,1760,157,1997-02-15,4,55.47
459,1760,157,1997-03-14,1,14.99
460,1760,157,1997-03-20,1,14.96
461,1760,157,1997-04-02,1,14.96
462,1760,157,1997-04-04,5,72.44
463,1760,157,1997-04-08,2,27.94
464,1760,157,1997-04-18,1,14.96
465,1760,157,1997-04-18,1,11.97
466,1760,157,1997-04-20,1,14.96
467,1760,157,1997-05-04,1,12.77
468,1760,157,1997-05-08,1,14.96
469,1760,157,1997-05-15,1,12.77
470,1760,157,1997-06-02,3,41.69
471,1760,157,1997-06-27,2,29.92
472,1760,157,1997-07-06,1,15.36
473,1760,157,1997-07-22,1,15.96
474,1760,157,1997-07-31,1,14.96
475,1760,157,1997-08-03,1,14.96
476,1760,157,1997-08-20,2,29.92
477,1760,157,1997-09-06,1,15.36
478,1760,157,1997-09-11,3,39.97
479,1760,157,1997-09-16,2,25.98
480,1760,157,1997-09-27,4,57.96
481,1760,157,1997-09-28,4,48.46
482,1760,157,1997-10-07,1,12.49
483,1760,157,1997-10-25,2,25.98
484,1760,157,1997-10-25,1,13.99
485,1760,157,1997-11-02,1,12.99
486,1760,157,1997-11-23,1,13.99
487,1760,157,1997-11-25,2,29.98
488,1760,157,1997-11-25,1,7.49
489,1760,157,1997-12-17,1,12.99
490,1760,157,1997-12-18,2,25.98
491,1760,157,1997-12-24,1,12.99
492,1760,157,1998-01-02,1,12.99
493,1760,157,1998-01-27,1,14.99
494,1760,157,1998-03-10,2,42.98
495,1760,157,1998-04-12,1,11.88
496,1760,157,1998-05-17,3,60.45
497,1760,157,1998-06-11,4,37.96
498,1783,158,1997-01-08,1,14.37
499,1792,159,1997-01-08,2,30.36
500,1792,159,1997-01-09,4,59.06
501,1792,159,1997-01-28,3,50.97
502,1792,159,1997-06-30,2,29.73
503,1809,160,1997-01-08,2,31.54
504,1825,161,1997-01-08,4,63.93
505,1825,161,1998-06-09,1,14.49
506,1828,162,1997-01-08,2,26.14
507,1828,162,1997-01-22,3,46.28
508,1839,163,1997-01-08,1,73.3
509,1845,164,1997-01-08,1,17.7
510,1845,164,1997-01-25,10,139.7
511,1845,164,1997-03-25,6,78.22
512,1845,164,1997-04-14,4,52.68
513,1845,164,1997-06-24,3,40.7
514,1845,164,1997-07-14,5,69.63
515,1845,164,1997-07-15,2,26.74
516,1845,164,1997-07-22,4,57.45
517,1845,164,1997-08-25,6,72.82
518,1845,164,1997-09-04,4,49.48
519,1845,164,1997-09-24,3,36.97
520,1845,164,1997-10-22,5,72.95
521,1845,164,1998-01-06,2,24.48
522,1845,164,1998-01-07,4,107.96
523,1845,164,1998-02-05,2,29.06
524,1845,164,1998-03-24,1,8.49
525,1845,164,1998-04-06,2,26.48
526,1858,165,1997-01-08,2,24.98
527,1858,165,1997-01-08,2,28.74
528,1877,166,1997-01-08,3,49.08
529,1877,166,1998-01-29,4,51.96
530,1890,167,1997-01-08,1,12.49
531,1890,167,1997-02-05,4,49.96
532,1890,167,1997-03-10,2,13.58
533,1890,167,1997-03-15,1,12.79
534,1890,167,1997-04-16,2,24.98
535,1890,167,1997-05-14,7,100.93
536,1890,167,1997-05-15,3,32.3
537,1890,167,1997-05-16,2,11.58
538,1890,167,1997-05-19,2,20.76
539,1890,167,1997-05-20,3,28.81
540,1890,167,1997-06-06,1,5.78
541,1890,167,1997-06-24,1,12.25
542,1890,167,1997-07-23,1,4.99
543,1890,167,1997-07-24,1,12.25
544,1890,167,1997-10-14,4,49.96
545,1890,167,1997-10-20,1,11.49
546,1890,167,1997-10-24,2,24.98
547,1890,167,1997-11-07,4,35.96
548,1890,167,1997-11-18,1,12.49
549,1890,167,1997-11-20,3,47.97
550,1890,167,1997-12-01,2,16.98
551,1890,167,1998-01-02,2,53.48
552,1890,167,1998-01-06,4,63.96
553,1890,167,1998-01-11,5,105.95
554,1890,167,1998-01-27,5,66.95
555,1890,167,1998-02-09,2,24.98
556,1890,167,1998-02-18,1,11.02
557,1890,167,1998-03-20,1,5.99
558,1890,167,1998-03-28,3,40.97
559,1890,167,1998-05-13,3,41.97
560,1894,168,1997-01-08,1,14.37
561,1908,169,1997-01-08,2,25.77
562,1919,170,1997-01-08,1,18.99
563,1919,170,1997-09-27,1,14.49
564,1919,170,1997-11-29,1,13.99
565,1919,170,1998-04-11,1,14.49
566,1928,171,1997-01-08,1,64.99
567,1944,172,1997-01-08,1,51.37
568,1956,173,1997-01-08,8,93.57
569,1971,174,1997-01-08,1,18.36
570,1985,175,1997-01-08,1,6.79
571,1402,176,1997-01-09,10,166.3
572,1763,177,1997-01-09,1,12.49
573,1893,178,1997-01-09,5,63.29
574,1893,178,1997-01-17,6,70.62
575,1893,178,1997-03-28,2,38.93
576,1893,178,1997-05-19,3,41.31
577,1893,178,1997-06-29,1,11.77
578,1893,178,1997-08-10,1,17.7
579,1893,178,1997-08-27,2,30.72
580,1893,178,1997-11-12,3,45.47
581,1893,178,1997-11-27,2,25.98
582,1893,178,1998-01-13,2,25.98
583,1893,178,1998-01-16,2,25.98
584,1893,178,1998-02-21,2,23.98
585,1893,178,1998-02-28,2,25.98
586,1893,178,1998-03-13,2,25.98
587,1893,178,1998-05-07,1,15.49
588,1991,179,1997-01-09,4,47.08
589,1991,179,1997-02-03,3,29.97
590,1991,179,1997-02-09,4,68.45
591,1991,179,1997-03-02,2,55.96
592,1991,179,1997-03-24,5,62.93
593,1991,179,1997-04-16,3,40.7
594,1991,179,1997-06-21,3,47.28
595,1991,179,1997-07-13,2,31.76
596,1991,179,1997-09-19,4,56.96
597,1991,179,1997-11-23,1,9.99
598,1991,179,1997-11-23,2,98.98
599,1991,179,1997-11-30,1,39.49
600,1991,179,1997-12-27,3,38.97
601,1991,179,1998-01-19,5,70.47
602,1991,179,1998-02-22,4,56.05
603,1991,179,1998-04-07,3,43.36
604,1991,179,1998-04-08,1,21.99
605,2005,180,1997-01-09,1,17.96
606,2030,181,1997-01-09,1,15.76
607,2049,182,1997-01-09,1,12.97
608,2053,183,1997-01-09,1,15.36
609,2053,183,1997-02-13,1,15.76
610,2053,183,1997-11-14,2,20.98
611,2053,183,1998-04-21,2,16.98
612,2053,183,1998-05-08,1,14.99
613,2071,184,1997-01-09,1,8.77
614,2072,185,1997-01-09,3,27.55
615,2072,185,1997-01-11,2,27.94
616,2072,185,1997-01-18,2,29.78
617,2072,185,1997-02-23,1,14.96
618,2072,185,1997-09-19,3,62.97
619,2072,185,1997-11-05,2,10.98
620,2072,185,1998-06-12,1,20.99
621,2087,186,1997-01-09,1,14.96
622,2099,187,1997-01-09,1,13.97
623,2099,187,1997-02-07,1,13.77
624,2099,187,1997-03-05,1,9.97
625,2099,187,1998-02-20,1,12.49
626,2102,188,1997-01-09,1,3.99
627,2102,188,1997-03-20,2,23.76
628,2102,188,1997-04-01,3,44.69
629,2102,188,1997-06-06,3,45.51
630,2102,188,1997-12-23,3,41.47
631,2104,189,1997-01-09,4,51.86
632,2104,189,1997-02-05,1,11.77
633,2104,189,1997-02-17,2,29.13
634,2104,189,1997-02-20,3,44.49
635,2109,190,1997-01-09,1,28.99
636,2127,191,1997-01-09,2,27.94
637,2142,192,1997-01-09,2,30.54
638,2161,193,1997-01-09,3,52.63
639,2180,194,1997-01-09,1,16.99
640,2194,195,1997-01-09,1,14.3
641,2194,195,1997-02-10,1,22.97
642,2194,195,1997-05-09,2,16.56
643,2194,195,1997-05-27,2,48.94
644,2194,195,1997-06-11,1,39.51
645,2194,195,1997-06-16,1,10.77
646,2194,195,1997-07-17,1,33.86
647,2199,196,1997-01-09,3,36.75
648,2202,197,1997-01-09,2,29.36
649,2202,197,1997-01-20,2,27.13
650,2217,198,1997-01-09,3,46.68
651,2217,198,1997-11-02,1,29.49
652,2235,199,1997-01-09,1,27.77
653,780,200,1997-01-10,3,47.73
654,780,200,1997-02-01,1,23.99
655,780,200,1997-04-20,3,58.97
656,780,200,1998-01-10,1,11.49
657,2254,201,1997-01-10,2,21.54
658,2272,202,1997-01-10,1,12.49
659,2272,202,1997-02-04,2,25.26
660,2272,202,1997-02-28,1,12.49
661,2289,203,1997-01-10,1,16.7
662,2289,203,1997-07-01,1,15.96
663,2289,203,1997-08-15,1,27.77
664,2294,204,1997-01-10,2,28.35
665,2319,205,1997-01-10,1,10.77
666,2331,206,1997-01-10,4,56.87
667,2331,206,1997-05-16,1,14.96
668,2336,207,1997-01-10,1,12.99
669,2361,208,1997-01-10,4,82.96
670,2361,208,1997-01-12,2,34.27
671,2363,209,1997-01-10,1,14.37
672,2379,210,1997-01-10,3,59.97
673,2389,211,1997-01-10,3,35.31
674,2389,211,1997-02-11,3,61.11
675,2389,211,1997-02-23,5,141.6
676,2389,211,1997-03-14,3,37.51
677,2389,211,1997-03-22,6,80.21
678,2389,211,1997-04-11,5,68.05
679,2389,211,1997-05-02,5,62.25
680,2389,211,1997-05-15,4,51.94
681,2389,211,1997-11-13,5,92.95
682,2389,211,1997-11-25,2,24.48
683,2389,211,1997-12-03,1,21.49
684,2389,211,1997-12-30,2,30.98
685,2389,211,1998-03-23,2,41.48
686,2389,211,1998-06-27,3,61.47
687,2398,212,1997-01-10,1,31.98
688,2419,213,1997-01-10,1,13.97
689,2419,213,1998-06-14,6,81.44
690,2442,214,1997-01-10,1,14.96
691,2445,215,1997-01-10,1,19.99
692,2445,215,1997-07-27,1,14.96
693,2445,215,1997-08-01,1,13.97
694,2445,215,1997-12-08,2,24.48
695,2455,216,1997-01-10,1,14.96
696,2455,216,1998-03-28,2,24.98
697,2457,217,1997-01-10,1,13.97
698,2457,217,1997-01-28,2,25.74
699,2457,217,1997-02-26,3,37.9
700,2457,217,1997-06-14,3,44.29
701,2457,217,1997-06-29,3,41.1
702,2457,217,1998-04-18,2,25.98
703,208,218,1997-01-11,5,63.25
704,208,218,1998-02-21,5,70.38
705,2181,219,1997-01-11,3,41.75
706,2181,219,1997-04-25,1,14.99
707,2471,220,1997-01-11,1,21.99
